"Dataset
Name",Accuracy,TPR,TNR,Precision,AUC,Curve,Time train,Time test
energy-y2,0.9574504443,0.9225640228,0.9699460766,0.9217922902,0.9985326112,0.9971237361,43.6085511,0.1009248018
flags,0.664736842,0.2467222222,0.0636447451,0.664736842,0,0.749622821,45.4105912,0.1530904769
flags,0.8089799499,0.2442857143,0.878312442,0.2721379176,0.9431059241,0.8335703731,14.35692775,0.1036569119
flags,0.8379072682,0.3223948413,0.9019561154,0.3110430839,0.9966764689,0.9883061051,18.52412581,0.1667508125
glass,0.7476190477,0.5315873014,0.0727510793,0.7476190477,0.3456535424,0.747659547,46.14260118,0.1220692157
glass,0.8663059163,0.4691829004,0.9035479073,0.5196052096,0.9422864199,0.8313113153,13.92390173,0.1286085606
glass,0.8820634921,0.6230873016,0.9144931654,0.6198009259,0.9968401372,0.9887014628,21.66044853,0.1151282072
heart-va,0.34,0.3251567461,0.1875933257,0.34,0.3840744801,0.743561954,44.70700565,0.1164165973
heart-va,0.7095,0.2924285714,0.8118543769,0.2955815296,0.941327703,0.8289731324,13.52181416,0.1033396244
heart-va,0.721,0.2852876984,0.8182771514,0.3018650794,0.9929459155,0.9783752322,19.57309475,0.09635827542
iris,0.9533333333,0.9591666667,0.0223484849,0.9533333333,0.9684090909,0.741126907,41.69548819,0.1046631575
iris,0.9244444445,0.8863888889,0.9429208754,0.9183333333,0.9407608807,0.8279132545,13.74338255,0.1065627098
iris,0.9511111111,0.9253968254,0.964526677,0.9342063492,0.9997044563,0.9994208574,17.06701455,0.09884982109
